DDD,Estado,UF,Latitude,Longitude
11,São Paulo,SP,-23.5505,-46.6333
12,São Paulo,SP,-23.5505,-46.6333
13,São Paulo,SP,-23.5505,-46.6333
14,São Paulo,SP,-23.5505,-46.6333
15,São Paulo,SP,-23.5505,-46.6333
16,São Paulo,SP,-23.5505,-46.6333
17,São Paulo,SP,-23.5505,-46.6333
18,São Paulo,SP,-23.5505,-46.6333
19,São Paulo,SP,-23.5505,-46.6333
21,Rio de Janeiro,RJ,-22.9068,-43.1729
22,Rio de Janeiro,RJ,-22.9068,-43.1729
24,Rio de Janeiro,RJ,-22.9068,-43.1729
27,Espírito Santo,ES,-20.3155,-40.3128
28,Espírito Santo,ES,-20.3155,-40.3128
31,Minas Gerais,MG,-19.9167,-43.9345
32,Minas Gerais,MG,-19.9167,-43.9345
33,Minas Gerais,MG,-19.9167,-43.9345
34,Minas Gerais,MG,-19.9167,-43.9345
35,Minas Gerais,MG,-19.9167,-43.9345
37,Minas Gerais,MG,-19.9167,-43.9345
38,Minas Gerais,MG,-19.9167,-43.9345
41,Paraná,PR,-25.4284,-49.2733
42,Paraná,PR,-25.4284,-49.2733
43,Paraná,PR,-25.4284,-49.2733
44,Paraná,PR,-25.4284,-49.2733
45,Paraná,PR,-25.4284,-49.2733
46,Paraná,PR,-25.4284,-49.2733
47,Santa Catarina,SC,-27.5954,-48.548
48,Santa Catarina,SC,-27.5954,-48.548
49,Santa Catarina,SC,-27.5954,-48.548
51,Rio Grande do Sul,RS,-30.0331,-51.2304
53,Rio Grande do Sul,RS,-30.0331,-51.2304
54,Rio Grande do Sul,RS,-30.0331,-51.2304
55,Rio Grande do Sul,RS,-30.0331,-51.2304
61,Distrito Federal,DF,-15.7797,-47.9297
62,Goiás,GO,-16.6869,-49.2648
63,Tocantins,TO,-10.2527,-48.253
64,Goiás,GO,-16.6869,-49.2648
65,Mato Grosso,MT,-15.601,-56.0979
66,Mato Grosso,MT,-15.601,-56.0979
67,Mato Grosso do Sul,MS,-20.4697,-54.6201
68,Acre,AC,-9.974,-67.8243
69,Rondônia,RO,-8.7612,-63.9004
71,Bahia,BA,-12.9714,-38.5014
73,Bahia,BA,-12.9714,-38.5014
74,Bahia,BA,-12.9714,-38.5014
75,Bahia,BA,-12.9714,-38.5014
77,Bahia,BA,-12.9714,-38.5014
79,Sergipe,SE,-10.9472,-37.0731
81,Pernambuco,PE,-8.0476,-34.877
82,Alagoas,AL,-9.5713,-36.782
83,Paraíba,PB,-7.2396,-35.8812
84,Rio Grande do Norte,RN,-5.7945,-35.211
85,Ceará,CE,-3.7172,-38.5434
86,Piauí,PI,-5.0892,-42.8019
87,Pernambuco,PE,-8.0476,-34.877
88,Ceará,CE,-3.7172,-38.5434
89,Piauí,PI,-5.0892,-42.8019
91,Pará,PA,-1.455,-48.5044
92,Amazonas,AM,-3.119,-60.0217
93,Pará,PA,-1.455,-48.5044
94,Pará,PA,-1.455,-48.5044
95,Roraima,RR,2.8235,-60.6758
96,Amapá,AP,0.0342,-51.0694
97,Amazonas,AM,-3.119,-60.0217
98,Maranhão,MA,-2.5387,-44.2825
99,Maranhão,MA,-2.5387,-44.2825
